"title","console","genre","critic_score","total_sales","na_sales","jp_sales"
"Grand Theft Auto V","PS3","Action","9.4","20.32","6.37","0.99"
"Grand Theft Auto V","PS4","Action","9.7","19.39","6.06","0.6"
"Grand Theft Auto: Vice City","PS2","Action","9.6","16.15","8.41","0.47"
"Call of Duty: Black Ops 3","PS4","Shooter","8.1","15.09","6.18","0.41"
"Call of Duty: Modern Warfare 3","X360","Shooter","8.7","14.82","9.07","0.13"
"Call of Duty: Black Ops","X360","Shooter","8.8","14.74","9.76","0.11"
"Red Dead Redemption 2","PS4","Action-Adventure","9.8","13.94","5.26","0.21"
"Call of Duty: Black Ops II","X360","Shooter","8.4","13.86","8.27","0.07"
"Call of Duty: Black Ops II","PS3","Shooter","8","13.8","4.99","0.65"
"Call of Duty: Modern Warfare 2","X360","Shooter","9.5","13.53","8.54","0.08"
"Call of Duty: WWII","PS4","Shooter","8.1","13.4","4.67","0.4"
"Call of Duty: Modern Warfare 3","PS3","Shooter","8.8","13.35","5.54","0.49"
"Grand Theft Auto III","PS2","Action","9.5","13.1","6.99","0.3"
"Call of Duty: Black Ops","PS3","Shooter","8.7","12.67","6.01","0.48"
"FIFA 18","PS4","Sports","8.3","11.8","1.27","0.15"
"Grand Theft Auto IV","X360","Action","10","11.09","6.8","0.14"
"FIFA 17","PS4","Sports","8.9","10.94","1.26","0.12"
"Call of Duty: Modern Warfare 2","PS3","Shooter","9.5","10.61","4.99","0.38"
"Grand Theft Auto IV","PS3","Action","10","10.57","4.79","0.44"
"Call of Duty: Ghosts","X360","Shooter","6.9","10.41","6.76","0.04"
"Call of Duty: Ghosts","PS3","Shooter","7.5","10.13","4.11","0.39"
"Halo: Reach","X360","Shooter","9.3","9.97","7.08","0.08"
"Call of Duty 4: Modern Warfare","X360","Shooter","9.6","9.41","5.98","0.13"
"The Elder Scrolls V: Skyrim","X360","Role-Playing","9.3","8.88","5.1","0.1"
"Grand Theft Auto V","XOne","Action","9","8.72","4.7","0.01"
"Call of Duty: Infinite Warfare","PS4","Shooter","7.9","8.48","3.11","0.19"
"Fallout 4","PS4","Role-Playing","8.6","8.48","2.91","0.27"
"FIFA 16","PS4","Sports","8.5","8.22","1.15","0.07"
"Star Wars Battlefront (2015)","PS4","Shooter","7.1","8.03","3.31","0.23"
"The Sims 3","PC","Simulation","8.5","7.96","1.01",""
"Grand Theft Auto: Liberty City Stories","PSP","Action","8.8","7.72","2.9","0.24"
"Call of Duty: Advanced Warfare","PS4","Shooter","8.5","7.53","2.84","0.14"
"Call of Duty: World at War","X360","Shooter","8.5","7.5","4.88",""
"Battlefield 3","X360","Shooter","8.5","7.35","4.47","0.06"
"Battlefield 1","PS4","Shooter","9.1","7.26","2.2","0.29"
"Battlefield 3","PS3","Shooter","8.5","7.21","2.86","0.35"
"Need for Speed Underground","PS2","Racing","8.6","7.2","3.27","0.08"
"Need for Speed Underground 2","PS2","Racing","8.3","6.9","2.71","0.08"
"Medal of Honor: Frontline","PS2","Shooter","9","6.83","2.93","0.17"
"Uncharted 2: Among Thieves","PS3","Action","9.5","6.74","3.28","0.21"
"Call of Duty 4: Modern Warfare","PS3","Shooter","9.5","6.72","3.13","0.28"
"FIFA Soccer 12","PS3","Sports","9.2","6.65","0.84","0.11"
"Red Dead Redemption","PS3","Action","9.5","6.57","2.82","0.17"
"Red Dead Redemption","X360","Action","9.5","6.5","3.77","0.09"
"Assassin's Creed III","PS3","Action-Adventure","8.8","6.5","2.65","0.16"
"The Elder Scrolls V: Skyrim","PS3","Role-Playing","9","6.49","2.57","0.25"
"Minecraft","PS4","Misc","9.4","6.33","1.89","0.35"
"FIFA 15","PS4","Sports","8.1","6.32","0.83","0.05"
"Driver","PS","Action","8.5","6.27","3.11","0.02"
"Tekken 2","PS","Fighting","9.1","5.74","2.26","1.36"
"LEGO Star Wars: The Complete Saga","Wii","Action","8","5.66","3.57",""
"Cooking Mama","DS","Simulation","6.6","5.66","3.09","0.07"
"Assassin's Creed II","PS3","Action","9","5.57","2.54","0.21"
"Assassin's Creed","X360","Action","8.2","5.55","3.28","0.07"
"Batman: Arkham City","PS3","Action","9.6","5.54","2.72","0.11"
"Forza Motorsport 3","X360","Racing","9.2","5.5","2.99","0.1"
"Call of Duty: World at War","PS3","Shooter","8.4","5.43","2.75",""
"Crash Bandicoot: The Wrath of Cortex","PS2","Platform","6.9","5.42","2.07","0.24"
"Final Fantasy XIII","PS3","Role-Playing","8","5.35","1.75","1.87"
"Assassin's Creed II","X360","Action","9.1","5.3","3.14","0.08"
"Tomb Raider II","PS","Adventure","7.6","5.24","2.3","0.2"
"Madden NFL 2004","PS2","Sports","9.5","5.23","4.26","0.01"
"Call of Duty: Advanced Warfare","XOne","Shooter","8.3","5.22","3.25","0.01"
"Medal of Honor: Rising Sun","PS2","Shooter","5.9","5.13","1.98","0.13"
"Battlefield 1","XOne","Shooter","9.3","5.13","3.37","0.02"
"Microsoft Flight Simulator","PC","Simulation","7","5.12","3.22",""
"Guitar Hero II","PS2","Misc","9.2","5.12","3.81",""
"Mario & Sonic at the Olympic Games","DS","Sports","7","5.1","1.63","0.44"
"Fable III","X360","Role-Playing","7.8","5.1","3.59","0.05"
"Resident Evil 5","PS3","Action","8.6","5.1","1.96","1.08"
"FIFA Soccer 11","PS3","Sports","8.7","5.08","0.61","0.06"
"Grand Theft Auto: Vice City Stories","PSP","Action","8.4","5.08","1.7","0.16"
"Final Fantasy XV","PS4","Role-Playing","8.1","5.07","1.81","1.05"
"Fallout 4","XOne","Role-Playing","8.4","5.03","2.94","0.02"
"Tony Hawk's Pro Skater","PS","Sports","9.6","5.02","3.42","0.02"
"Guitar Hero III: Legends of Rock","PS2","Misc","8.2","4.98","3.49","0.01"
"Uncharted: Drake's Fortune","PS3","Action","8.7","4.97","2.32","0.12"
"Fallout 3","X360","Role-Playing","9","4.96","3.41","0.09"
"Madden NFL 06","PS2","Sports","9.1","4.91","3.98","0.01"
"Assassin's Creed","PS3","Action","8.2","4.83","1.91","0.09"
"Crash Team Racing","PS","Racing","9.2","4.79","2.57","0.44"
"LEGO Star Wars: The Complete Saga","DS","Action","7.8","4.77","2.83",""
"Batman: Arkham City","X360","Action","9.5","4.75","2.99","0.04"
"Driver 2","PS","Action","7","4.73","2.36","0.02"
"The Simpsons: Hit & Run","PS2","Racing","7.7","4.7","1.73",""
"Tony Hawk's Pro Skater 2","PS","Sports","9.3","4.68","3.05","0.02"
"The Lord of the Rings: The Two Towers","PS2","Action","8.3","4.67","1.94","0.08"
"Tomb Raider","PS","Action","8.9","4.63","2.29","0.13"
"Forza Motorsport 4","X360","Racing","9.1","4.6","2.08","0.06"
"Guitar Hero III: Legends of Rock","Wii","Misc","8.6","4.6","3.04","0"
"FIFA 15","PS3","Sports","6.9","4.56","0.59","0.04"
"Mario & Sonic at the Olympic Winter Games","Wii","Sports","6.8","4.54","1.87","0.22"
"Overwatch","PS4","Shooter","8.8","4.54","1.84","0.17"
"Guitar Hero III: Legends of Rock","X360","Misc","8.7","4.53","3.19","0.01"
"Madden NFL 2005","PS2","Sports","9.5","4.53","4.18","0.01"
"Spider-Man: The Movie","PS2","Action","8.2","4.48","2.71","0.03"
"The Elder Scrolls IV: Oblivion","X360","Role-Playing","9.2","4.47","2.89","0.13"
"Tony Hawk's Pro Skater 3","PS2","Sports","9.1","4.41","2.66","0.01"
"Winning Eleven: Pro Evolution Soccer 2007","PS2","Sports","8.8","4.39","0.1","1.05"
"Need for Speed: Most Wanted","PS2","Racing","8.6","4.37","2.03","0.08"
"Michael Jackson: The Experience","Wii","Misc","5.6","4.37","2.64","0.01"
"Call of Duty: Advanced Warfare","X360","Shooter","9.1","4.34","2.81","0"
"Batman: Arkham Asylum","PS3","Action","9","4.28","2.26","0.07"
"Call of Duty: Advanced Warfare","PS3","Shooter","9.1","4.27","1.59","0.2"
"Assassin's Creed: Revelations","PS3","Action","8.8","4.23","1.41","0.1"
"Assassin's Creed: Revelations","X360","Action","7.9","4.22","2.28","0.04"
"FIFA Soccer 06","PS2","Sports","8.4","4.21","0.78","0.04"
"Street Fighter IV","PS3","Fighting","9.3","4.19","2.04","0.59"
"FIFA Soccer 12","X360","Sports","9.2","4.18","0.85","0.02"
"Call of Duty: Ghosts","PS4","Shooter","7.5","4.17","1.79","0.05"
"Teenage Mutant Ninja Turtles","NES","Platform","5.9","4.17","3.38","0.31"
"Star Wars Battlefront (2015)","XOne","Shooter","6.9","4.15","2.49","0.02"
"Madden NFL 2003","PS2","Sports","9.4","4.14","3.36","0.01"
"FIFA 07 Soccer","PS2","Sports","8.4","4.11","0.71","0.03"
"Batman: Arkham Knight","PS4","Action","8.1","4.11","1.65","0.11"
"The Sims 4","PC","Simulation","7","4.1","1.2",""
"Fallout: New Vegas","X360","Role-Playing","8.2","4.08","2.67","0.04"
"Carnival Games","Wii","Misc","4.2","4.06","2.12","0.05"
"Far Cry 4","PS4","Shooter","8.4","4.06","1.18","0.11"
"World Soccer Winning Eleven 9","PS2","Sports","8.9","4.06","0.12","0.9"
"Forza Motorsport 2","X360","Racing","9.1","4.05","2.35","0.03"
"Tekken Tag Tournament","PS2","Fighting","8.7","4.05","1.68","0.51"
"Fallout 3","PS3","Role-Playing","8.8","4","2.18","0.07"
"The Elder Scrolls V: Skyrim","PC","Role-Playing","9.2","3.99","1.18",""
"NBA 2K16","PS4","Sports","8.7","3.98","2.56","0.05"
"Far Cry 5","PS4","Action","7.9","3.95","1.44","0.15"
"Battlefield 4","PS4","Shooter","8.3","3.94","1.4","0.19"
"Assassin's Creed IV: Black Flag","PS3","Action-Adventure","8.7","3.94","1.34","0.13"
"Tony Hawk's Underground","PS2","Sports","8.7","3.9","2.29","0.01"
"Just Dance 2014","Wii","Music","7.4","3.89","1.91",""
"Sports Champions","PS3","Sports","7.6","3.88","2.15","0.1"
"World Soccer Winning Eleven 8 International","PS2","Sports","9.3","3.85","0.16","1.12"
"LEGO Indiana Jones: The Original Adventures","X360","Adventure","7.5","3.76","2.4",""
"The Sims: Unleashed","PC","Simulation","7.3","3.76","2.03",""
"Ratchet & Clank: Size Matters","PSP","Platform","8.5","3.75","1.4","0.1"
"FIFA 17","XOne","Sports","8.8","3.71","1.04",""
"FIFA Soccer 2005","PS2","Sports","8.4","3.7","0.58","0.04"
"Tony Hawk's Pro Skater 4","PS2","Sports","9.6","3.67","2.13","0.01"
"MySims","DS","Simulation","6.7","3.66","1.58","0.08"
"Midnight Club 3: DUB Edition","PSP","Racing","7.2","3.66","1.65",""
"SOCOM: U.S. Navy SEALs","PS2","Shooter","8","3.65","2.53","0.06"
"Battlefield 4","PS3","Shooter","8.7","3.64","1.31","0.27"
"Jak and Daxter: The Precursor Legacy","PS2","Platform","9","3.64","2.08","0.15"
"Pro Evolution Soccer 2008","PS2","Sports","8.2","3.63","0.05","0.64"
"FIFA Soccer 10","PS3","Sports","9","3.63","0.6","0.05"
"Guitar Hero: World Tour","Wii","Misc","8.4","3.62","2.32",""
"The Simpsons: Road Rage","PS2","Racing","6.1","3.61","2.02",""
"Star Wars Battlefront","PS2","Shooter","8.1","3.61","1.93","0.03"
"Doom II","PC","Shooter","9.3","3.61","2.05",""
"Assassin's Creed Syndicate","PS4","Action","8.6","3.6","0.9","0.08"
"Star Wars Battlefront II","PS2","Shooter","8.5","3.59","2.18","0.03"
"Cooking Mama 2: Dinner With Friends","DS","Simulation","6.9","3.58","1.6","0.1"
"The Getaway","PS2","Action","7.7","3.54","1.23","0.05"
"Tomb Raider III: Adventures of Lara Croft","PS","Adventure","8.2","3.54","1.66","0.12"
"Grand Theft Auto: Liberty City Stories","PS2","Action","8.3","3.54","1.56","0.07"
"Battlefield 4","X360","Shooter","8.7","3.54","2.16","0.02"
"Batman: Arkham Asylum","X360","Action","9.1","3.54","2.24","0.02"
"Resident Evil 5","X360","Action","8.6","3.53","2.13","0.12"
"Assassin's Creed: Brotherhood","X360","Action","9.1","3.53","2.87","0.03"
"LEGO Star Wars: The Video Game","PS2","Action","7.9","3.53","1.98","0.01"
"FIFA Soccer 11","X360","Sports","8.7","3.52","0.71","0.02"
"NBA 2K17","PS4","Sports","9","3.52","2.28","0.03"
"FIFA Soccer 2004","PS2","Sports","8","3.49","0.59","0.04"
"Borderlands","X360","Shooter","8.3","3.48","2.43","0.03"
"Battlefield: Bad Company 2","X360","Shooter","9","3.48","2.11","0.04"
"Mario & Sonic at the Olympic Winter Games","DS","Sports","7.6","3.47","1.21","0.27"
"Guitar Hero: On Tour","DS","Misc","7.1","3.46","2.1","0.01"
"Tekken 4","PS2","Fighting","7.9","3.44","1.55","0.33"
"LEGO Batman: The Videogame","X360","Adventure","7.5","3.44","2.07",""
"Halo: The Master Chief Collection","XOne","Shooter","8.8","3.44","2.06","0.03"
"LittleBigPlanet 2","PS3","Platform","9.1","3.43","1.83","0.06"
"Grand Theft Auto 2","PS","Action","6.9","3.42","1.13",""
"Destiny","XOne","Shooter","8.3","3.41","2.17",""
"Spider-Man 2","PS2","Action","7.9","3.41","1.75","0.02"
"Crash Bash","PS","Misc","6.8","3.39","1.56","0.19"
"The Elder Scrolls V: Skyrim Special Edition","PS4","Role-Playing","8.3","3.36","1.24","0.08"
"Assassin's Creed IV: Black Flag","X360","Action-Adventure","8.5","3.34","1.9","0.01"
"NBA 2K18","PS4","Sports","8.1","3.34","2.13","0.04"
"Max Payne","PS2","Shooter","8.1","3.31","1.99","0.05"
"Madden NFL 16","PS4","Sports","8.2","3.3","2.39",""
"The Lord of the Rings: The Return of the King","PS2","Action","8.4","3.28","1.5","0.05"
"Madden NFL 17","PS4","Sports","8.5","3.28","2.3",""
"FIFA 16","XOne","Sports","8.5","3.25","0.92",""
"L.A. Noire","PS3","Adventure","9.1","3.21","1.29","0.12"
"007: Tomorrow Never Dies","PS","Shooter","6.2","3.21","1.72",""
"WWF SmackDown! 2: Know Your Role","PS","Fighting","8.7","3.2","1.76","0.07"
"Assassin's Creed IV: Black Flag","PS4","Action-Adventure","8.3","3.19","1.07","0.06"
"Assassin's Creed Odyssey","PS4","Action-Adventure","9.5","3.18","1.18","0.09"
"Fallout: New Vegas","PS3","Role-Playing","8.2","3.17","1.54","0.1"
"Club Penguin: Elite Penguin Force","DS","Adventure","7","3.14","1.87",""
"FIFA 18","XOne","Sports","8","3.14","0.98",""
"The Elder Scrolls IV: Oblivion","PS3","Role-Playing","9.3","3.12","1.69","0.14"
"Tom Clancy's Ghost Recon Wildlands","PS4","Shooter","7","3.12","1.07","0.22"
"NBA 2K13","X360","Sports","8.6","3.11","2.62","0.01"
"Mass Effect 2","X360","Role-Playing","9.5","3.1","1.99","0.03"
"LEGO Batman: The Videogame","Wii","Adventure","7.3","3.08","1.8",""
"Saints Row 2","X360","Action","7.9","3.07","1.98","0.02"
"Call of Duty: Ghosts","XOne","Shooter","7.5","3.07","1.92",""
"LEGO Batman: The Videogame","DS","Adventure","7.8","3.06","1.75",""
"Kung Fu Panda","X360","Platform","7.5","3.05","1.91",""
"Mass Effect 3","X360","Role-Playing","9.5","3.04","1.94","0.03"
"Rayman","PS","Platform","7","3.03","1.54",""
"Tom Clancy's Splinter Cell","XB","Action","9.3","3.02","1.85",""
"WWE SmackDown! vs. Raw 2006","PS2","Fighting","8.4","3","1.57",""
"Battlefield: Bad Company 2","PS3","Shooter","8.9","2.96","1.33","0.08"
"Street Fighter IV","X360","Fighting","9.3","2.95","1.83","0.15"
"Madden NFL 13","X360","Sports","8","2.93","2.53",""
"FIFA 15","X360","Sports","6.9","2.91","0.8",""
"Mass Effect","X360","Role-Playing","9.2","2.91","1.83","0.03"
"Mortal Kombat (2011)","PS3","Fighting","8.5","2.9","1.98",""
"Cooking Mama: Cook Off","Wii","Simulation","5.9","2.89","1.41","0.05"
"Sega Superstars Tennis","X360","Sports","6.9","2.89","1.75",""
"Imagine: Babyz","DS","Simulation","3.5","2.87","1.3",""
"Colin McRae Rally","PS","Racing","7.9","2.87","0.09","0.12"
"Mafia III","PS4","Action-Adventure","6.9","2.87","0.72","0.04"
"The Elder Scrolls III: Morrowind","XB","Role-Playing","8.2","2.86","2.09","0.03"
"Assassin's Creed: Brotherhood","PS3","Action","9.1","2.85","1.87","0.11"
"Madden NFL 10","X360","Sports","8.6","2.83","2.52",""
"BioShock","X360","Shooter","9.6","2.83","1.65","0.05"
"Finding Nemo","GBA","Platform","7","2.82","1.59","0.04"
"Gran Turismo (PSP)","PSN","Racing","7.8","2.82","0.43","0.31"
"Medal of Honor","PS3","Shooter","6.7","2.82","1.28","0.07"
"Imagine: Fashion Designer","DS","Simulation","3","2.81","1.32",""
"Need for Speed: Hot Pursuit","PS3","Racing","8.9","2.81","1.05","0.03"
"Killzone 3","PS3","Shooter","8.2","2.81","1.46","0.09"
"Skylanders: Spyro's Adventure","Wii","Action","8","2.79","1.35",""
"A Bug's Life","PS","Platform","3.6","2.79","1.96",""
"Star Wars: The Force Unleashed","X360","Action","7.1","2.77","1.74",""
"Saints Row: The Third","X360","Action","8.3","2.77","1.26","0.07"
"Battlefield 3","PC","Shooter","8.9","2.76","0.89",""
"Need for Speed: Most Wanted (2012)","PS3","Racing","8.5","2.74","0.71","0.06"
"Far Cry: Primal","PS4","Action-Adventure","7.2","2.73","0.63","0.07"
"L.A. Noire","X360","Adventure","9.1","2.73","1.55","0.02"
"Overwatch","XOne","Shooter","8.7","2.72","1.63",""
"Need for Speed (2015)","PS4","Racing","7","2.72","0.59","0.06"
"Skate 3","X360","Sports","8.3","2.71","1.47",""
"Madden NFL 13","PS3","Sports","8.3","2.71","2.12",""
"Madden NFL 12","X360","Sports","7.8","2.7","2.43",""
"Call of Duty 3","X360","Shooter","8","2.7","1.49","0.02"
"LEGO Star Wars II: The Original Trilogy","PS2","Action","8.4","2.69","1.85","0.01"
"Madden NFL 11","X360","Sports","8.3","2.69","2.38",""
"Burnout 3: Takedown","PS2","Racing","9.3","2.68","1.23",""
"Medal of Honor","PS","Shooter","9.3","2.67","1.44",""
"Call of Duty 2: Big Red One","PS2","Shooter","8.5","2.67","1.48","0.01"
"Final Fantasy XIII-2","PS3","Role-Playing","8.3","2.66","0.78","0.89"
"Medal of Honor Heroes","PSP","Shooter","6.7","2.66","0.86","0.01"
"Guitar Hero: World Tour","X360","Misc","8.6","2.66","1.78",""
"Need for Speed: Shift","PS3","Racing","8.2","2.65","0.69","0.04"
"Hannah Montana","DS","Action","6.5","2.65","1.59",""
"Medal of Honor","X360","Shooter","7.3","2.64","1.58","0.04"
"NBA 2K12","X360","Sports","9.1","2.64","2.32","0.01"
"NBA 2K13","PS3","Sports","8.9","2.63","1.74","0.05"
"FIFA Soccer 10","X360","Sports","8.9","2.62","0.6","0.01"
"Madden NFL 18","PS4","Sports","8.2","2.62","1.73",""
"LittleBigPlanet","PSP","Platform","8.8","2.61","0.65","0.01"
"Grand Theft Auto: Episodes from Liberty City","X360","Adventure","9","2.6","1.08","0.03"
"FIFA Soccer 09","PS3","Sports","8.6","2.59","0.49","0.04"
"WWE SmackDown vs. RAW 2007","PS2","Fighting","8","2.58","1.4","0.03"
"Dragon Age: Origins","X360","Role-Playing","8.5","2.56","1.76","0.03"
"FIFA 16","PS3","Sports","9","2.55","0.43","0.05"
"Madden NFL 09","X360","Sports","8.5","2.54","2.21",""
"Crazy Taxi","PS2","Racing","8.2","2.52","1.13","0.06"
"Tomb Raider (2013)","PS3","Action","8.9","2.51","0.6","0.08"
"Midnight Club: Los Angeles","PS3","Racing","8.3","2.5","1.59","0.05"
"Marvel: Ultimate Alliance","X360","Role-Playing","8.3","2.5","2.29",""
"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","XB","Action","9.8","2.49","1.84",""
"Mortal Kombat: Deadly Alliance","PS2","Fighting","8.2","2.49","1.81",""
"Game Party","Wii","Misc","2.6","2.49","1.47",""
"Saints Row: The Third","PS3","Action","8.3","2.48","0.86","0.18"
"Madden NFL 16","XOne","Sports","8.4","2.47","2.13",""
"Rock Band","X360","Misc","9.1","2.47","1.93",""
"Pure","X360","Racing","8.3","2.47","1.38","0"
"LEGO Harry Potter: Years 1-4","Wii","Adventure","7.9","2.45","1.29",""
"Madden NFL 17","XOne","Sports","8.1","2.44","2.14",""
"Twisted Metal 2","PS","Racing","8.7","2.44","2.12",""
"Tom Clancy's Rainbow Six: Vegas 2","X360","Shooter","8.2","2.42","1.56","0.02"
"Sonic Adventure","DC","Platform","8.9","2.42","1.26","0.46"
"Need for Speed Carbon: Own the City","PSP","Racing","7.4","2.42","0.87",""
"Halo: Combat Evolved Anniversary","X360","Shooter","8","2.41","1.44","0.04"
"Kinect: Disneyland Adventures","X360","Action-Adventure","8.5","2.41","1.73","0.02"
"Pro Evolution Soccer 2011","PS3","Sports","6","2.41","0.29","0.54"
"NBA 2K16","XOne","Sports","8.3","2.41","2.01",""
"ATV Offroad Fury","PS2","Racing","8.4","2.41","2.07",""
"Midnight Club: Los Angeles","X360","Racing","8","2.4","1.72","0.01"
"Madden NFL 11","PS3","Sports","8.4","2.4","2.05",""
"Theme Hospital","PC","Strategy","5.5","2.4","2.3",""
"Frogger's Adventures: Temple of the Frog","GBA","Adventure","6.7","2.39","2.15",""
"Dead Island","X360","Action","7","2.38","1.48",""
"The Incredibles","PS2","Action","5.9","2.37","0.96","0.04"
"Madden NFL 10","PS3","Sports","8.5","2.37","2.03",""
"Madden NFL 08","X360","Sports","8.7","2.37","2.18",""
"Sonic's Ultimate Genesis Collection","PS3","Misc","8.1","2.36","1.39",""
"LEGO Indiana Jones: The Original Adventures","Wii","Adventure","7.8","2.35","1.51",""
"Dragon Age: Inquisition","PS4","Role-Playing","8.6","2.34","1.07","0.08"
"Kinect Sports: Season Two","X360","Sports","6.6","2.33","1.38","0.02"
"Madden NFL 25","X360","Sports","7.8","2.33","2.02",""
"Grand Theft Auto","PS","Action","6","2.32","0.79","0.04"
"My Fitness Coach","Wii","Sports","7.1","2.32","1.18",""
"Assassin's Creed IV: Black Flag","XOne","Action","8.3","2.32","1.51",""
"The Sims 3","X360","Simulation","8","2.31","1.28","0"
"LEGO Star Wars: The Complete Saga","PS3","Action","8","2.31","1.02",""
"Dead Island","PS3","Action","6.7","2.29","1.08","0.15"
"Tomb Raider II","PC","Adventure","8.2","2.29","0.91",""
"LEGO Harry Potter: Years 1-4","DS","Adventure","8","2.29","1.07",""
"Pro Evolution Soccer 2010","PS3","Sports","7","2.28","0.3","0.46"
"Need for Speed Underground 2","XB","Racing","8","2.28","1.38",""
"Madden NFL 12","PS3","Sports","7.8","2.27","1.93",""
"No Man's Sky","PS4","Action-Adventure","6.8","2.26","0.89","0.04"
"Guitar Hero III: Legends of Rock","PS3","Misc","8.2","2.25","1.4","0.02"
"Call of Duty 3","Wii","Shooter","6.8","2.24","1.17",""
"Prince of Persia: The Sands of Time","PS2","Adventure","9","2.22","0.88",""
"Star Wars: The Force Unleashed","PS3","Action","6.8","2.22","1.01",""
"Guitar Hero II","X360","Misc","9.2","2.21","2.01",""
"Rock Band 2","X360","Misc","9.2","2.2","1.78",""
"Need for Speed: Hot Pursuit","X360","Racing","8.8","2.2","1.03","0"
"BioShock 2","X360","Shooter","8.6","2.2","1.45","0.02"
"High School Musical: Makin' the Cut!","DS","Puzzle","7.3","2.2","1.06",""
"FIFA 15","XOne","Sports","7.9","2.19","0.64",""
"Pro Evolution Soccer 2012","PS3","Sports","7.5","2.19","0.34","0.55"
"Star Wars: Knights of the Old Republic","XB","Role-Playing","9.4","2.19","1.68",""
"Final Fantasy XIII","X360","Role-Playing","8.1","2.19","1.3","0.01"
"Need for Speed: Payback","PS4","Racing","5.8","2.18","0.62","0.04"
"ATV Offroad Fury 2","PS2","Racing","8.7","2.18","1.92",""
"Your Shape featuring Jenny McCarthy","Wii","Sports","6","2.16","1.5",""
"Call of Duty: Roads to Victory","PSP","Shooter","6.1","2.14","0.52",""
"SimCity 2000","PC","Simulation","8","2.14","1.2",""
"NBA 2K12","PS3","Sports","9","2.13","1.62","0.05"
"Borderlands","PS3","Shooter","8.2","2.12","1.22",""
"Mortal Kombat (2011)","X360","Fighting","8.6","2.12","1.64",""
"Tony Hawk's Pro Skater","N64","Sports","9.3","2.11","1.68",""
"Need for Speed: Hot Pursuit 2","PS2","Racing","8.7","2.11","1.68","0.02"
"PES 2009: Pro Evolution Soccer","PS3","Sports","7.7","2.11","0.11","0.4"
"NBA 2K11","X360","Sports","8.8","2.11","1.86","0.01"
"Grand Theft Auto: Episodes from Liberty City","PS3","Adventure","9","2.09","0.62","0.13"
"Need for Speed: Most Wanted 5-1-0","PSP","Racing","7.4","2.09","1.77","0.02"
"Metal Gear Solid: Peace Walker","PSP","Action","8.6","2.08","0.46","0.96"
"Rock Band","Wii","Misc","8.2","2.08","1.33",""
"Sim Theme Park","PC","Strategy","8.1","2.08","2.04",""
"Portal 2","X360","Shooter","9.6","2.08","1.41","0.01"
"UFC 2009 Undisputed","X360","Fighting","8.4","2.07","1.48","0"
"The Sims 2: Pets","DS","Simulation","4.8","2.07","0.92",""
"Call of Duty 2","X360","Shooter","8.8","2.06","1.84","0.01"
"R4: Ridge Racer Type 4","PS","Racing","9.1","2.06","0.68","0.79"
"The Incredibles","GBA","Action","5.4","2.06","1.15","0.04"
"Tom Clancy's Splinter Cell: Conviction","X360","Action","8.6","2.06","1.2","0.04"
"Need for Speed: Undercover","PS3","Racing","5.9","2.06","0.63","0.05"
"Dark Souls","PS3","Role-Playing","9","2.05","0.75","0.54"
"Mortal Kombat vs DC Universe","PS3","Fighting","7.6","2.05","1.52",""
"Need for Speed: ProStreet","X360","Racing","7.1","2.05","1.04","0.01"
"Dragon Quest XI: Echoes of an Elusive Age","PS4","Role-Playing","9.5","2.04","0.29","1.43"
"PGR4 - Project Gotham Racing 4","X360","Racing","8.6","2.04","0.48","0.02"
"Need for Speed: ProStreet","PS3","Racing","7.2","2.04","0.73","0.04"
"NBA 2K17","XOne","Sports","8.8","2.04","1.7",""
"Dance Central 2","X360","Music","8.6","2.04","1.45","0.01"
"Madden NFL 25","PS3","Sports","7.5","2.04","1.62",""
"Rayman Raving Rabbids: TV Party","Wii","Misc","7.1","2.03","0.72",""
"The Sims 3","PS3","Simulation","8.1","2.03","0.73","0.02"
"NBA 2K18","XOne","Sports","7.7","2.02","1.67",""
"Rocket League","PS4","Sports","8.7","2.02","0.37",""
"Just Dance 3","X360","Misc","5.5","2.02","1.47",""
"Need for Speed: The Run","PS3","Racing","6.3","2.01","0.58","0.03"
"TouchMaster","DS","Puzzle","6.9","2","0.48",""
"Dead Space","PS3","Shooter","8.9","2","1.05",""
"Tenchu: Stealth Assassins","PS","Action","8.8","1.99","0.95","0.27"
"Harry Potter and the Chamber of Secrets","GBA","Adventure","7.2","1.99","1.21","0.05"
"Mortal Kombat vs DC Universe","X360","Fighting","7.6","1.99","1.58",""
"Just Cause 3","PS4","Action-Adventure","7.5","1.98","0.53","0.09"
"Hot Shots Golf: Open Tee","PSP","Sports","8.4","1.96","0.5","0.63"
"Tom Clancy's Rainbow Six: Vegas","X360","Shooter","8.8","1.95","1.09","0.02"
"Grand Theft Auto: San Andreas","XB","Action","9.2","1.95","1.26",""
"Burnout Paradise","PS3","Racing","9","1.95","1.01","0.02"
"Call of Duty: World at War","Wii","Shooter","8.1","1.94","1.17",""
"FIFA Soccer 09","X360","Sports","8.7","1.94","0.49","0.01"
"X-Men Legends","PS2","Role-Playing","8.6","1.93","1",""
"The Legend of Zelda: Oracle of Ages","GBC","Adventure","9.4","1.92","0.92","0.41"
"Guitar Hero: World Tour","PS3","Misc","8.5","1.92","1.1",""
"Red Faction","PS2","Shooter","9.1","1.92","0.76",""
"Madden NFL 18","XOne","Sports","8.8","1.91","1.63",""
